,name,weight,height,species,moves,types,abilities,hp,attack,defense,special-attack,special-defense,speed
156,totodile,95,6,totodile,"mega-punch, ice-punch, scratch, razor-wind, swords-dance, cut, mega-kick, headbutt, body-slam, thrash, double-edge, leer, bite, water-gun, hydro-pump, surf, ice-beam, blizzard, low-kick, counter, seismic-toss, dig, toxic, rage, mimic, screech, double-team, waterfall, rest, rock-slide, slash, substitute, snore, curse, flail, spite, protect, scary-face, mud-slap, icy-wind, detect, endure, swagger, attract, sleep-talk, return, frustration, dynamic-punch, iron-tail, metal-claw, hidden-power, rain-dance, crunch, ancient-power, whirlpool, uproar, hail, flatter, facade, focus-punch, superpower, brick-break, secret-power, dive, mud-sport, fake-tears, rock-tomb, aerial-ace, block, dragon-claw, water-sport, dragon-dance, water-pulse, natural-gift, fling, aqua-tail, shadow-claw, ice-fang, captivate, aqua-jet, hone-claws, round, chip-away, scald, water-pledge, work-up, confide, power-up-punch",water,"torrent, sheer-force",50,65,64,44,48,43
157,croconaw,250,11,croconaw,"mega-punch, ice-punch, scratch, swords-dance, cut, mega-kick, headbutt, body-slam, thrash, double-edge, leer, bite, roar, water-gun, hydro-pump, surf, ice-beam, blizzard, low-kick, counter, seismic-toss, strength, dig, toxic, rage, mimic, screech, double-team, waterfall, rest, rock-slide, slash, substitute, snore, curse, flail, spite, protect, scary-face, mud-slap, icy-wind, detect, endure, swagger, fury-cutter, attract, sleep-talk, return, frustration, dynamic-punch, iron-tail, hidden-power, rain-dance, crunch, ancient-power, rock-smash, whirlpool, uproar, hail, facade, focus-punch, superpower, brick-break, secret-power, dive, rock-tomb, aerial-ace, block, dragon-claw, water-pulse, natural-gift, fling, aqua-tail, shadow-claw, ice-fang, captivate, hone-claws, round, chip-away, scald, water-pledge, work-up, confide, power-up-punch",water,"torrent, sheer-force",65,80,80,59,63,58
158,feraligatr,888,23,feraligatr,"mega-punch, ice-punch, scratch, swords-dance, cut, mega-kick, headbutt, body-slam, thrash, double-edge, leer, bite, roar, water-gun, hydro-pump, surf, ice-beam, blizzard, hyper-beam, low-kick, counter, seismic-toss, strength, earthquake, dig, toxic, agility, rage, mimic, screech, double-team, waterfall, rest, rock-slide, slash, substitute, snore, curse, flail, spite, protect, scary-face, mud-slap, icy-wind, detect, outrage, endure, swagger, fury-cutter, attract, sleep-talk, return, frustration, dynamic-punch, iron-tail, hidden-power, rain-dance, crunch, ancient-power, rock-smash, whirlpool, uproar, hail, facade, focus-punch, superpower, brick-break, secret-power, dive, hydro-cannon, rock-tomb, aerial-ace, block, dragon-claw, water-pulse, natural-gift, fling, aqua-tail, dragon-pulse, focus-blast, giga-impact, avalanche, shadow-claw, ice-fang, rock-climb, captivate, hone-claws, round, chip-away, scald, water-pledge, bulldoze, dragon-tail, work-up, confide, power-up-punch, liquidation",water,"torrent, sheer-force",85,105,100,79,83,78
159,sentret,60,8,sentret,"fire-punch, ice-punch, thunder-punch, scratch, cut, slam, headbutt, tackle, body-slam, take-down, double-edge, growl, flamethrower, surf, ice-beam, blizzard, solar-beam, thunderbolt, thunder, dig, toxic, quick-attack, mimic, double-team, defense-curl, focus-energy, swift, amnesia, fury-swipes, rest, super-fang, slash, substitute, thief, snore, curse, reversal, protect, mud-slap, foresight, detect, endure, charm, rollout, swagger, fury-cutter, attract, sleep-talk, return, frustration, dynamic-punch, baton-pass, pursuit, iron-tail, hidden-power, rain-dance, sunny-day, shadow-ball, whirlpool, uproar, facade, focus-punch, follow-me, helping-hand, trick, assist, brick-break, knock-off, secret-power, hyper-voice, covet, shock-wave, water-pulse, natural-gift, u-turn, fling, me-first, last-resort, sucker-punch, aqua-tail, seed-bomb, shadow-claw, captivate, grass-knot, charge-beam, hone-claws, round, echoed-voice, retaliate, work-up, play-rough, confide, baby-doll-eyes, power-up-punch, brutal-swing, tera-blast, tidy-up, trailblaze, chilling-water",normal,"run-away, keen-eye, frisk",35,46,34,35,45,20
160,furret,325,18,furret,"fire-punch, ice-punch, thunder-punch, scratch, cut, slam, headbutt, body-slam, take-down, double-edge, growl, flamethrower, surf, ice-beam, blizzard, hyper-beam, strength, solar-beam, thunderbolt, thunder, dig, toxic, agility, quick-attack, mimic, double-team, defense-curl, focus-energy, swift, amnesia, fury-swipes, rest, super-fang, slash, substitute, thief, snore, curse, reversal, protect, mud-slap, foresight, detect, endure, charm, rollout, swagger, fury-cutter, attract, sleep-talk, return, frustration, dynamic-punch, baton-pass, iron-tail, hidden-power, rain-dance, sunny-day, shadow-ball, rock-smash, whirlpool, uproar, facade, focus-punch, follow-me, helping-hand, trick, brick-break, knock-off, secret-power, hyper-voice, covet, shock-wave, water-pulse, natural-gift, u-turn, fling, me-first, last-resort, sucker-punch, aqua-tail, seed-bomb, focus-blast, giga-impact, shadow-claw, zen-headbutt, captivate, grass-knot, charge-beam, hone-claws, coil, round, echoed-voice, retaliate, work-up, play-rough, confide, baby-doll-eyes, power-up-punch, brutal-swing, tera-blast, tidy-up, trailblaze, chilling-water",normal,"run-away, keen-eye, frisk",85,76,64,45,55,90
161,hoothoot,212,7,hoothoot,"wing-attack, whirlwind, fly, tackle, take-down, double-edge, growl, supersonic, psybeam, peck, toxic, confusion, psychic, hypnosis, agility, night-shade, mimic, screech, double-team, confuse-ray, haze, reflect, mirror-move, swift, amnesia, dream-eater, sky-attack, flash, rest, substitute, thief, nightmare, snore, curse, spite, protect, feint-attack, mud-slap, foresight, detect, endure, swagger, steel-wing, mean-look, attract, sleep-talk, return, frustration, hidden-power, twister, rain-dance, sunny-day, psych-up, shadow-ball, uproar, heat-wave, facade, magic-coat, recycle, skill-swap, imprison, secret-power, feather-dance, hyper-voice, air-cutter, silver-wind, extrasensory, aerial-ace, calm-mind, roost, natural-gift, pluck, tailwind, psycho-shift, air-slash, brave-bird, nasty-plot, zen-headbutt, defog, captivate, ominous-wind, synchronoise, round, echoed-voice, stored-power, acrobatics, work-up, hurricane, moonblast, confide, dual-wingbeat, tera-blast","normal, flying","insomnia, keen-eye, tinted-lens",60,30,30,36,56,50
162,noctowl,408,16,noctowl,"wing-attack, whirlwind, fly, tackle, body-slam, take-down, double-edge, growl, supersonic, psybeam, hyper-beam, peck, toxic, confusion, psychic, hypnosis, agility, night-shade, mimic, screech, double-team, confuse-ray, haze, reflect, swift, amnesia, dream-eater, sky-attack, flash, rest, substitute, thief, nightmare, snore, curse, spite, protect, scary-face, mud-slap, foresight, detect, endure, swagger, steel-wing, attract, sleep-talk, return, frustration, hidden-power, twister, rain-dance, sunny-day, psych-up, shadow-ball, future-sight, uproar, heat-wave, facade, magic-coat, recycle, skill-swap, imprison, secret-power, feather-dance, hyper-voice, air-cutter, silver-wind, extrasensory, aerial-ace, calm-mind, roost, natural-gift, pluck, tailwind, psycho-shift, air-slash, brave-bird, giga-impact, nasty-plot, zen-headbutt, defog, captivate, ominous-wind, synchronoise, round, echoed-voice, stored-power, acrobatics, work-up, hurricane, moonblast, confide, laser-focus, dual-wingbeat, tera-blast","normal, flying","insomnia, keen-eye, tinted-lens",100,50,50,86,96,70
163,ledyba,108,10,ledyba,"comet-punch, mega-punch, ice-punch, thunder-punch, swords-dance, headbutt, tackle, double-edge, supersonic, psybeam, counter, solar-beam, string-shot, dig, toxic, agility, mimic, screech, double-team, light-screen, reflect, bide, swift, dizzy-punch, flash, rest, substitute, thief, snore, curse, protect, mach-punch, giga-drain, endure, rollout, swagger, attract, sleep-talk, return, frustration, safeguard, dynamic-punch, baton-pass, encore, sweet-scent, hidden-power, sunny-day, uproar, facade, focus-punch, brick-break, knock-off, secret-power, air-cutter, silver-wind, aerial-ace, roost, natural-gift, tailwind, u-turn, fling, air-slash, bug-buzz, drain-punch, captivate, bug-bite, ominous-wind, round, acrobatics, struggle-bug, confide, infestation, power-up-punch","bug, flying","swarm, early-bird, rattled",40,20,30,40,80,55
164,ledian,356,14,ledian,"comet-punch, mega-punch, ice-punch, thunder-punch, swords-dance, headbutt, tackle, double-edge, supersonic, hyper-beam, strength, solar-beam, string-shot, dig, toxic, agility, mimic, double-team, light-screen, reflect, swift, flash, rest, substitute, thief, snore, curse, protect, mach-punch, giga-drain, endure, rollout, swagger, attract, sleep-talk, return, frustration, safeguard, dynamic-punch, baton-pass, sweet-scent, hidden-power, sunny-day, rock-smash, uproar, facade, focus-punch, brick-break, knock-off, secret-power, air-cutter, silver-wind, aerial-ace, roost, natural-gift, tailwind, u-turn, fling, air-slash, bug-buzz, drain-punch, focus-blast, giga-impact, defog, captivate, bug-bite, ominous-wind, round, acrobatics, struggle-bug, confide, infestation, power-up-punch","bug, flying","swarm, early-bird, iron-fist",55,35,50,55,110,85
165,spinarak,85,5,spinarak,"body-slam, double-edge, poison-sting, twineedle, pin-missile, sonic-boom, disable, psybeam, absorb, solar-beam, string-shot, dig, toxic, psychic, agility, night-shade, mimic, screech, double-team, constrict, leech-life, flash, fury-swipes, rest, substitute, thief, spider-web, snore, curse, spite, protect, scary-face, sludge-bomb, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, megahorn, baton-pass, pursuit, hidden-power, sunny-day, facade, knock-off, secret-power, signal-beam, bounce, natural-gift, sucker-punch, toxic-spikes, poison-jab, night-slash, x-scissor, bug-buzz, shadow-sneak, cross-poison, captivate, bug-bite, hone-claws, venoshock, rage-powder, acid-spray, foul-play, round, hex, struggle-bug, electroweb, sticky-web, confide, infestation, toxic-thread, lunge, tera-blast, pounce, trailblaze","bug, poison","swarm, insomnia, sniper",40,60,40,40,40,30
166,ariados,335,11,ariados,"swords-dance, body-slam, double-edge, poison-sting, pin-missile, disable, hyper-beam, absorb, solar-beam, string-shot, dig, toxic, psychic, agility, night-shade, mimic, screech, double-team, focus-energy, constrict, leech-life, flash, fury-swipes, rest, substitute, thief, spider-web, snore, curse, spite, protect, scary-face, sludge-bomb, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, megahorn, baton-pass, hidden-power, sunny-day, facade, knock-off, secret-power, signal-beam, bounce, natural-gift, sucker-punch, toxic-spikes, poison-jab, night-slash, x-scissor, bug-buzz, giga-impact, shadow-sneak, cross-poison, captivate, bug-bite, hone-claws, venoshock, rage-powder, acid-spray, foul-play, round, hex, struggle-bug, electroweb, sticky-web, fell-stinger, confide, venom-drench, infestation, toxic-thread, throat-chop, lunge, smart-strike, stomping-tantrum, tera-blast, pounce, trailblaze","bug, poison","swarm, insomnia, sniper",70,90,70,60,70,40
167,crobat,750,18,crobat,"wing-attack, fly, double-edge, bite, supersonic, hyper-beam, absorb, toxic, agility, mimic, screech, double-team, confuse-ray, haze, swift, leech-life, sky-attack, rest, super-fang, substitute, thief, snore, curse, protect, sludge-bomb, detect, giga-drain, endure, swagger, steel-wing, mean-look, attract, sleep-talk, return, frustration, hidden-power, twister, rain-dance, sunny-day, crunch, shadow-ball, uproar, heat-wave, torment, facade, taunt, snatch, secret-power, poison-fang, astonish, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, payback, assurance, dark-pulse, air-slash, x-scissor, brave-bird, giga-impact, nasty-plot, zen-headbutt, defog, cross-poison, captivate, ominous-wind, venoshock, round, quick-guard, hex, acrobatics, hurricane, confide, venom-drench, dual-wingbeat","poison, flying","inner-focus, infiltrator",85,90,80,70,80,130
168,chinchou,120,5,chinchou,"take-down, double-edge, supersonic, mist, water-gun, hydro-pump, surf, ice-beam, blizzard, psybeam, bubble-beam, thunderbolt, thunder-wave, thunder, toxic, agility, mimic, screech, double-team, confuse-ray, waterfall, amnesia, bubble, flash, rest, substitute, snore, curse, flail, protect, zap-cannon, icy-wind, endure, swagger, spark, attract, sleep-talk, heal-bell, return, frustration, hidden-power, rain-dance, whirlpool, hail, facade, charge, secret-power, dive, signal-beam, bounce, shock-wave, water-pulse, brine, natural-gift, sucker-punch, aqua-ring, discharge, captivate, charge-beam, electro-ball, soak, round, scald, volt-switch, wild-charge, ion-deluge, confide, dazzling-gleam, rising-voltage","water, electric","volt-absorb, illuminate, water-absorb",75,38,38,56,56,67
169,lanturn,225,12,lanturn,"take-down, double-edge, supersonic, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, hyper-beam, thunderbolt, thunder-wave, thunder, toxic, agility, mimic, screech, double-team, confuse-ray, waterfall, amnesia, bubble, flash, rest, substitute, snore, curse, flail, protect, zap-cannon, icy-wind, endure, swagger, spark, attract, sleep-talk, heal-bell, return, frustration, hidden-power, rain-dance, whirlpool, stockpile, spit-up, swallow, hail, facade, charge, secret-power, dive, signal-beam, bounce, shock-wave, water-pulse, brine, natural-gift, sucker-punch, aqua-ring, aqua-tail, giga-impact, discharge, captivate, charge-beam, electro-ball, round, scald, volt-switch, wild-charge, ion-deluge, confide, eerie-impulse, dazzling-gleam, spotlight, rising-voltage","water, electric","volt-absorb, illuminate, water-absorb",125,58,58,76,76,67
170,pichu,20,3,pichu,"double-slap, mega-punch, thunder-punch, mega-kick, headbutt, body-slam, take-down, double-edge, tail-whip, surf, counter, seismic-toss, thunder-shock, thunderbolt, thunder-wave, thunder, toxic, mimic, double-team, defense-curl, light-screen, reflect, bide, swift, flash, rest, substitute, snore, curse, flail, reversal, protect, sweet-kiss, mud-slap, zap-cannon, detect, endure, charm, rollout, swagger, attract, sleep-talk, return, present, frustration, encore, iron-tail, hidden-power, rain-dance, fake-out, uproar, facade, follow-me, charge, helping-hand, wish, secret-power, tickle, signal-beam, covet, volt-tackle, shock-wave, natural-gift, fling, lucky-chant, magnet-rise, nasty-plot, captivate, grass-knot, charge-beam, electro-ball, round, echoed-voice, bestow, volt-switch, electroweb, wild-charge, disarming-voice, play-rough, play-nice, confide, electric-terrain, nuzzle, tera-blast, trailblaze",electric,"static, lightning-rod",20,40,15,35,35,60
171,cleffa,30,3,cleffa,"pound, mega-punch, mega-kick, headbutt, body-slam, double-edge, sing, flamethrower, psybeam, counter, seismic-toss, solar-beam, thunder-wave, dig, toxic, psychic, mimic, double-team, defense-curl, light-screen, reflect, metronome, fire-blast, swift, amnesia, soft-boiled, dream-eater, flash, splash, rest, substitute, nightmare, snore, curse, protect, sweet-kiss, belly-drum, mud-slap, zap-cannon, icy-wind, detect, endure, charm, rollout, swagger, attract, sleep-talk, return, present, frustration, safeguard, encore, iron-tail, hidden-power, rain-dance, sunny-day, psych-up, shadow-ball, uproar, facade, helping-hand, trick, role-play, wish, magic-coat, recycle, endeavor, secret-power, hyper-voice, aromatherapy, fake-tears, tickle, signal-beam, covet, magical-leaf, calm-mind, shock-wave, water-pulse, gravity, natural-gift, fling, copycat, last-resort, zen-headbutt, captivate, grass-knot, wonder-room, psyshock, telekinesis, after-you, round, echoed-voice, stored-power, heal-pulse, incinerate, work-up, disarming-voice, draining-kiss, misty-terrain, play-rough, confide, dazzling-gleam, tera-blast, chilling-water",fairy,"cute-charm, magic-guard, friend-guard",50,25,28,45,55,15
172,igglybuff,10,3,igglybuff,"pound, mega-punch, mega-kick, headbutt, body-slam, take-down, double-edge, sing, disable, flamethrower, counter, seismic-toss, solar-beam, thunder-wave, dig, toxic, psychic, mimic, screech, double-team, defense-curl, light-screen, reflect, fire-blast, swift, dream-eater, flash, rest, substitute, nightmare, snore, curse, protect, feint-attack, sweet-kiss, mud-slap, zap-cannon, perish-song, icy-wind, detect, endure, charm, rollout, swagger, attract, sleep-talk, heal-bell, return, present, frustration, safeguard, pain-split, encore, hidden-power, rain-dance, sunny-day, psych-up, shadow-ball, uproar, facade, helping-hand, role-play, wish, magic-coat, recycle, endeavor, secret-power, hyper-voice, fake-tears, bounce, covet, shock-wave, water-pulse, gravity, natural-gift, fling, copycat, punishment, last-resort, captivate, grass-knot, round, echoed-voice, heal-pulse, incinerate, work-up, wild-charge, disarming-voice, draining-kiss, misty-terrain, play-rough, confide, dazzling-gleam, tera-blast, trailblaze","normal, fairy","cute-charm, competitive, friend-guard",90,30,15,40,20,15
173,togepi,15,3,togepi,"pound, mega-punch, mega-kick, headbutt, body-slam, double-edge, growl, flamethrower, peck, counter, seismic-toss, solar-beam, thunder-wave, toxic, psychic, mimic, double-team, defense-curl, light-screen, reflect, metronome, mirror-move, fire-blast, swift, soft-boiled, dream-eater, flash, rest, tri-attack, substitute, snore, curse, protect, sweet-kiss, mud-slap, zap-cannon, foresight, detect, endure, charm, rollout, swagger, attract, sleep-talk, heal-bell, return, present, frustration, safeguard, baton-pass, encore, morning-sun, hidden-power, rain-dance, sunny-day, psych-up, ancient-power, shadow-ball, future-sight, rock-smash, uproar, facade, follow-me, helping-hand, trick, wish, magic-coat, yawn, endeavor, secret-power, hyper-voice, signal-beam, extrasensory, aerial-ace, covet, shock-wave, water-pulse, natural-gift, fling, psycho-shift, lucky-chant, last-resort, nasty-plot, zen-headbutt, captivate, grass-knot, psyshock, telekinesis, after-you, round, echoed-voice, stored-power, incinerate, bestow, work-up, draining-kiss, play-rough, confide, mystical-fire, dazzling-gleam, life-dew",fairy,"hustle, serene-grace, super-luck",35,20,65,40,65,20
174,togetic,32,6,togetic,"pound, mega-punch, fly, mega-kick, headbutt, body-slam, double-edge, growl, flamethrower, hyper-beam, counter, seismic-toss, solar-beam, thunder-wave, toxic, psychic, mimic, double-team, defense-curl, light-screen, reflect, metronome, fire-blast, swift, soft-boiled, dream-eater, sky-attack, flash, rest, tri-attack, substitute, snore, curse, protect, sweet-kiss, mud-slap, zap-cannon, detect, endure, charm, rollout, swagger, steel-wing, attract, sleep-talk, heal-bell, return, frustration, safeguard, baton-pass, encore, hidden-power, twister, rain-dance, sunny-day, psych-up, ancient-power, shadow-ball, future-sight, rock-smash, uproar, heat-wave, facade, focus-punch, follow-me, helping-hand, trick, wish, magic-coat, brick-break, yawn, endeavor, imprison, secret-power, hyper-voice, air-cutter, silver-wind, signal-beam, aerial-ace, covet, magical-leaf, shock-wave, water-pulse, roost, natural-gift, tailwind, fling, last-resort, drain-punch, giga-impact, nasty-plot, zen-headbutt, defog, captivate, grass-knot, ominous-wind, psyshock, telekinesis, after-you, round, echoed-voice, stored-power, incinerate, retaliate, bestow, work-up, draining-kiss, play-rough, fairy-wind, confide, mystical-fire, dazzling-gleam, smart-strike, life-dew, dual-wingbeat","fairy, flying","hustle, serene-grace, super-luck",55,40,85,80,105,40
175,natu,20,2,natu,"double-edge, leer, peck, drill-peck, solar-beam, thunder-wave, toxic, psychic, quick-attack, teleport, night-shade, mimic, double-team, confuse-ray, light-screen, haze, reflect, swift, dream-eater, sky-attack, flash, rest, substitute, thief, nightmare, snore, curse, protect, feint-attack, detect, giga-drain, endure, swagger, steel-wing, attract, sleep-talk, return, frustration, pain-split, baton-pass, hidden-power, twister, rain-dance, sunny-day, psych-up, shadow-ball, future-sight, heat-wave, facade, trick, wish, magic-coat, skill-swap, imprison, refresh, secret-power, feather-dance, air-cutter, silver-wind, cosmic-power, signal-beam, aerial-ace, calm-mind, roost, miracle-eye, natural-gift, pluck, tailwind, u-turn, psycho-shift, lucky-chant, me-first, power-swap, guard-swap, sucker-punch, air-slash, zen-headbutt, trick-room, captivate, grass-knot, ominous-wind, psyshock, telekinesis, magic-room, synchronoise, simple-beam, round, stored-power, ally-switch, confide, dazzling-gleam, expanding-force, dual-wingbeat","psychic, flying","synchronize, early-bird, magic-bounce",40,50,45,70,45,70
176,xatu,150,15,xatu,"fly, double-edge, leer, hyper-beam, peck, solar-beam, thunder-wave, toxic, psychic, teleport, night-shade, mimic, double-team, confuse-ray, light-screen, reflect, swift, dream-eater, sky-attack, flash, rest, substitute, thief, nightmare, snore, curse, protect, detect, giga-drain, endure, swagger, steel-wing, attract, sleep-talk, return, frustration, pain-split, baton-pass, hidden-power, twister, rain-dance, sunny-day, psych-up, shadow-ball, future-sight, heat-wave, facade, trick, wish, magic-coat, skill-swap, imprison, secret-power, air-cutter, silver-wind, cosmic-power, signal-beam, aerial-ace, calm-mind, roost, miracle-eye, natural-gift, pluck, tailwind, u-turn, psycho-shift, lucky-chant, me-first, power-swap, guard-swap, sucker-punch, air-slash, giga-impact, zen-headbutt, defog, trick-room, captivate, grass-knot, ominous-wind, psyshock, telekinesis, magic-room, foul-play, round, stored-power, ally-switch, confide, dazzling-gleam, laser-focus, expanding-force, dual-wingbeat","psychic, flying","synchronize, early-bird, magic-bounce",65,75,70,95,70,95
177,mareep,78,6,mareep,"sand-attack, headbutt, tackle, body-slam, take-down, double-edge, growl, thunder-shock, thunderbolt, thunder-wave, thunder, dig, toxic, agility, mimic, screech, double-team, confuse-ray, defense-curl, light-screen, reflect, swift, flash, rest, substitute, snore, curse, cotton-spore, protect, zap-cannon, endure, swagger, attract, sleep-talk, heal-bell, return, frustration, safeguard, iron-tail, hidden-power, rain-dance, sunny-day, flatter, facade, charge, helping-hand, secret-power, odor-sleuth, signal-beam, shock-wave, natural-gift, magnet-rise, power-gem, discharge, captivate, charge-beam, electro-ball, after-you, round, echoed-voice, volt-switch, electroweb, wild-charge, cotton-guard, confide, eerie-impulse, electric-terrain, dazzling-gleam, tera-blast, trailblaze",electric,"static, plus",55,40,40,65,45,35
178,flaaffy,133,8,flaaffy,"mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick, headbutt, tackle, body-slam, take-down, double-edge, growl, roar, low-kick, counter, seismic-toss, strength, thunder-shock, thunderbolt, thunder-wave, thunder, dig, toxic, agility, mimic, double-team, confuse-ray, defense-curl, light-screen, reflect, swift, flash, rest, substitute, snore, curse, cotton-spore, protect, zap-cannon, endure, swagger, attract, sleep-talk, heal-bell, return, frustration, safeguard, dynamic-punch, iron-tail, hidden-power, rain-dance, sunny-day, rock-smash, facade, focus-punch, charge, helping-hand, brick-break, secret-power, signal-beam, shock-wave, natural-gift, fling, magnet-rise, power-gem, discharge, captivate, charge-beam, electro-ball, after-you, round, echoed-voice, volt-switch, electroweb, wild-charge, cotton-guard, confide, eerie-impulse, electric-terrain, dazzling-gleam, power-up-punch, tera-blast, trailblaze",electric,"static, plus",70,55,55,80,60,45
179,ampharos,615,14,ampharos,"mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick, headbutt, tackle, body-slam, take-down, double-edge, growl, roar, hyper-beam, low-kick, counter, seismic-toss, strength, thunder-shock, thunderbolt, thunder-wave, thunder, dig, toxic, agility, mimic, double-team, confuse-ray, defense-curl, light-screen, reflect, swift, flash, rest, substitute, snore, curse, cotton-spore, protect, zap-cannon, outrage, endure, swagger, attract, sleep-talk, heal-bell, return, frustration, safeguard, dynamic-punch, iron-tail, hidden-power, rain-dance, sunny-day, rock-smash, facade, focus-punch, charge, helping-hand, brick-break, secret-power, signal-beam, shock-wave, natural-gift, fling, magnet-rise, dragon-pulse, power-gem, focus-blast, giga-impact, rock-climb, discharge, captivate, charge-beam, electro-ball, after-you, round, echoed-voice, volt-switch, bulldoze, dragon-tail, electroweb, wild-charge, cotton-guard, ion-deluge, confide, eerie-impulse, magnetic-flux, electric-terrain, dazzling-gleam, power-up-punch, laser-focus, brutal-swing, stomping-tantrum, tera-blast, trailblaze",electric,"static, plus",90,75,85,115,90,55
180,bellossom,58,4,bellossom,"swords-dance, cut, double-edge, acid, hyper-beam, absorb, mega-drain, growth, solar-beam, poison-powder, stun-spore, sleep-powder, petal-dance, toxic, mimic, double-team, flash, rest, substitute, snore, curse, protect, sludge-bomb, giga-drain, endure, charm, swagger, attract, sleep-talk, return, frustration, safeguard, baton-pass, sweet-scent, synthesis, moonlight, hidden-power, sunny-day, uproar, facade, nature-power, helping-hand, secret-power, bullet-seed, magical-leaf, leaf-blade, natural-gift, fling, gastro-acid, worry-seed, seed-bomb, drain-punch, energy-ball, giga-impact, leaf-storm, captivate, grass-knot, venoshock, quiver-dance, after-you, round, petal-blizzard, grassy-terrain, play-rough, moonblast, confide, dazzling-gleam, infestation, laser-focus, grassy-glide",grass,"chlorophyll, healer",75,80,95,90,100,50
181,marill,85,4,marill,"mega-punch, ice-punch, slam, mega-kick, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, sing, supersonic, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, seismic-toss, strength, dig, toxic, mimic, double-team, defense-curl, light-screen, metronome, waterfall, swift, amnesia, bubble, splash, rest, substitute, snore, curse, protect, belly-drum, mud-slap, foresight, perish-song, icy-wind, endure, charm, rollout, swagger, attract, sleep-talk, return, present, frustration, dynamic-punch, encore, iron-tail, hidden-power, rain-dance, future-sight, rock-smash, whirlpool, uproar, hail, facade, focus-punch, helping-hand, superpower, brick-break, knock-off, refresh, secret-power, dive, camouflage, hyper-voice, fake-tears, tickle, muddy-water, bounce, mud-shot, covet, water-sport, water-pulse, natural-gift, fling, copycat, aqua-ring, aqua-tail, captivate, grass-knot, aqua-jet, soak, round, scald, bulldoze, work-up, disarming-voice, draining-kiss, misty-terrain, play-rough, confide, power-up-punch, brutal-swing, liquidation, steel-roller, misty-explosion, tera-blast, ice-spinner, snowscape, trailblaze, chilling-water","water, fairy","thick-fat, huge-power, sap-sipper",70,20,50,20,50,40
182,azumarill,285,8,azumarill,"mega-punch, ice-punch, slam, mega-kick, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, hyper-beam, seismic-toss, strength, dig, toxic, mimic, double-team, defense-curl, light-screen, metronome, waterfall, swift, amnesia, bubble, splash, rest, substitute, snore, curse, protect, mud-slap, icy-wind, endure, charm, rollout, swagger, attract, sleep-talk, return, frustration, dynamic-punch, encore, iron-tail, hidden-power, rain-dance, future-sight, rock-smash, whirlpool, uproar, hail, facade, focus-punch, helping-hand, superpower, brick-break, knock-off, secret-power, dive, hyper-voice, fake-tears, muddy-water, bounce, mud-shot, covet, water-sport, water-pulse, natural-gift, fling, aqua-ring, aqua-tail, focus-blast, giga-impact, captivate, grass-knot, round, scald, bulldoze, work-up, disarming-voice, draining-kiss, misty-terrain, play-rough, confide, power-up-punch, brutal-swing, liquidation, steel-roller, misty-explosion, tera-blast, ice-spinner, snowscape, trailblaze, chilling-water","water, fairy","thick-fat, huge-power, sap-sipper",100,50,80,60,80,50
183,sudowoodo,380,12,sudowoodo,"mega-punch, fire-punch, ice-punch, thunder-punch, slam, mega-kick, headbutt, body-slam, take-down, double-edge, hyper-beam, low-kick, counter, seismic-toss, strength, rock-throw, earthquake, dig, toxic, mimic, double-team, harden, defense-curl, self-destruct, explosion, rest, rock-slide, substitute, thief, snore, curse, flail, protect, feint-attack, mud-slap, spikes, sandstorm, endure, rollout, swagger, attract, sleep-talk, return, frustration, dynamic-punch, hidden-power, sunny-day, psych-up, rock-smash, uproar, torment, facade, focus-punch, nature-power, taunt, helping-hand, role-play, brick-break, secret-power, fake-tears, rock-tomb, sand-tomb, iron-defense, block, mud-shot, covet, calm-mind, rock-blast, hammer-arm, natural-gift, fling, copycat, sucker-punch, rock-polish, power-gem, drain-punch, earth-power, giga-impact, stone-edge, captivate, stealth-rock, grass-knot, wood-hammer, head-smash, smack-down, low-sweep, foul-play, after-you, round, bulldoze, confide, power-up-punch, high-horsepower, stomping-tantrum, tearful-look, body-press, meteor-beam, tera-blast, trailblaze",rock,"sturdy, rock-head, rattled",70,100,115,30,65,30
